hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 7397.54, -0.0000138952, 7397.54, -120, 7397.54, 120, 238.742, -12.8528, 234.521, -131.581, 247.887, 107.199
0, 1800.00000, 7397.54, -0.0000128324, 7397.54, -120, 7397.54, 120, 227.881, -14.0106, 233.827, -131.454, 235.108, 106.884
0, 2700.00000, 7397.54, 7.73733E-6, 7397.54, -120, 7397.54, 120, 137.087, -75.9301, 126.704, -154.146, 133.383, 80.5175
1, 0.00000, 7397.54, -1.33475E-6, 7397.54, -120, 7397.54, 120, 136.863, -39.8176, 164.983, -142.518, 158.002, 91.0816
1, 900.00000, 7397.54, -0.0000140964, 7397.54, -120, 7397.54, 120, 240.583, -12.6115, 241.315, -130.779, 264.224, 108.136
1, 1800.00000, 7397.54, -0.0000141873, 7397.54, -120, 7397.54, 120, 245.809, -13.1533, 253.661, -130.642, 266.563, 107.722
1, 2700.00000, 7397.54, -0.000016184, 7397.54, -120, 7397.54, 120, 269.547, -11.7147, 276.13, -130.607, 293.408, 108.06
2, 0.00000, 7397.54, -0.0000158193, 7397.54, -120, 7397.54, 120, 272.578, -12.9613, 286.067, -130.825, 291.182, 107.576
2, 900.00000, 7397.54, -0.0000111889, 7397.54, -120, 7397.54, 120, 241.559, -19.9374, 263.215, -135.644, 301.123, 98.8419
2, 1800.00000, 7397.54, -0.0000137128, 7397.54, -120, 7397.54, 120, 273.346, -17.7002, 295.099, -134.262, 316.323, 101.407
2, 2700.00000, 7397.54, -0.0000180105, 7397.54, -120, 7397.54, 120, 316.659, -13.68, 333.301, -132.743, 372.759, 104.21
3, 0.00000, 7397.54, -0.0000164714, 7397.54, -120, 7397.54, 120, 302.295, -15.1299, 312.525, -133.202, 326.926, 105.795
3, 900.00000, 7397.54, -0.0000163641, 7397.54, -120, 7397.54, 120, 298.161, -14.8906, 308.238, -133.996, 328.712, 105.413
3, 1800.00000, 7397.54, -0.0000160925, 7397.54, -120, 7397.54, 120, 305.015, -16.1673, 299.919, -134.265, 298.297, 104.371
