hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
11, 0.00000, 7415.54, -0.0000169717, 7415.54, -120, 7415.54, 120, 297.234, -13.4562, 297.604, -135.03, 293.485, 106.503
11, 900.00000, 7415.54, -0.000016407, 7415.54, -120, 7415.54, 120, 294.671, -14.3253, 290.117, -135.727, 294.256, 105.725
11, 1800.00000, 7415.54, -0.0000175532, 7415.54, -120, 7415.54, 120, 317.48, -14.5655, 302.497, -135.96, 309.824, 106.045
11, 2700.00000, 7415.54, -0.0000166209, 7415.54, -120, 7415.54, 120, 304.005, -14.9379, 294.696, -136.387, 301.687, 105.362
12, 0.00000, 7415.54, -0.0000153949, 7415.54, -120, 7415.54, 120, 285.37, -15.3743, 282.992, -136.868, 280.721, 104.979
12, 900.00000, 7415.54, -0.0000158904, 7415.54, -120, 7415.54, 120, 292.675, -15.166, 288.85, -136.276, 284.222, 105.051
12, 1800.00000, 7415.54, -0.0000151385, 7415.54, -120, 7415.54, 120, 275.891, -14.8138, 262.725, -136.164, 263.565, 105.401
12, 2700.00000, 7415.54, -0.0000147415, 7415.54, -120, 7415.54, 120, 267.476, -14.6655, 260.325, -136.131, 258.581, 105.471
13, 0.00000, 7415.54, -0.0000144033, 7415.54, -120, 7415.54, 120, 262.015, -14.7509, 252.807, -136.171, 255.39, 104.984
13, 900.00000, 7415.54, -0.0000148872, 7415.54, -120, 7415.54, 120, 269.795, -14.6256, 258.976, -136.246, 260.596, 105.689
13, 1800.00000, 7415.54, -0.0000130238, 7415.54, -120, 7415.54, 120, 250.31, -16.518, 242.16, -138.87, 250.1, 103.574
13, 2700.00000, 7415.54, -0.0000126754, 7415.54, -120, 7415.54, 120, 252.21, -17.5711, 240.392, -140.717, 251.075, 102.249
14, 0.00000, 7415.54, -0.0000171829, 7415.54, -120, 7415.54, 120, 313.682, -14.8755, 310.578, -136.913, 311.224, 104.906
14, 900.00000, 7415.54, -0.0000187065, 7415.54, -120, 7415.54, 120, 335.071, -14.239, 329.76, -135.921, 330.482, 105.77
14, 1800.00000, 7415.54, -0.000019541, 7415.54, -120, 7415.54, 120, 345.238, -13.7672, 327.746, -135.394, 329.613, 105.963
14, 2700.00000, 7415.54, -0.0000186792, 7415.54, -120, 7415.54, 120, 330.162, -13.7813, 322.172, -135.432, 317.274, 106.32
15, 0.00000, 7415.54, -0.0000172888, 7415.54, -120, 7415.54, 120, 316.93, -15.0135, 310.606, -137.235, 309.831, 105.1
15, 900.00000, 7415.54, -0.0000134606, 7415.54, -120, 7415.54, 120, 256.161, -16.2105, 242.49, -139.523, 249.827, 104.352
15, 1800.00000, 7415.54, -0.0000144304, 7415.54, -120, 7415.54, 120, 259.302, -14.3368, 242.406, -135.957, 242.477, 106.148
15, 2700.00000, 7415.54, -0.0000140972, 7415.54, -120, 7415.54, 120, 242.288, -12.7771, 238.204, -134.02, 230.359, 107.459
16, 0.00000, 7415.54, -0.0000134747, 7415.54, -120, 7415.54, 120, 228.168, -12.2318, 224.064, -133.398, 217.38, 107.919
16, 900.00000, 7415.54, -0.000013192, 7415.54, -120, 7415.54, 120, 218.792, -11.4534, 210.469, -132.397, 208.081, 108.916
16, 1800.00000, 7415.54, -0.0000119794, 7415.54, -120, 7415.54, 120, 198.93, -11.4954, 198.445, -132.513, 192.518, 108.8
16, 2700.00000, 7415.54, -7.66534E-6, 7415.54, -120, 7415.54, 120, 144.614, -15.901, 147.188, -138.05, 142.201, 104.729
17, 0.00000, 7415.54, -4.41974E-6, 7415.54, -120, 7415.54, 120, 96.3044, -20.0488, 94.8074, -146.619, 96.4579, 100.062
17, 900.00000, 7415.54, -0.0000128035, 7415.54, -120, 7415.54, 120, 206.325, -10.3354, 209.727, -131.434, 202.361, 109.889
17, 1800.00000, 7415.54, -0.0000134092, 7415.54, -120, 7415.54, 120, 214.952, -10.1286, 216.358, -131.182, 213.765, 110.165
17, 2700.00000, 7415.54, -0.0000143552, 7415.54, -120, 7415.54, 120, 232.209, -10.4914, 232.91, -131.451, 233.618, 109.896
18, 0.00000, 7415.54, -0.0000148541, 7415.54, -120, 7415.54, 120, 242.157, -10.7983, 246.397, -132.139, 240.197, 109.615
18, 900.00000, 7415.54, -0.0000141232, 7415.54, -120, 7415.54, 120, 242.946, -12.8085, 244.053, -134, 239.428, 107.629
18, 1800.00000, 7415.54, -1.80605E-6, 7415.54, -120, 7415.54, 120, 98.759, -35.2612, 107.402, -160.386, 109.578, 88.8583
18, 2700.00000, 7415.54, -0.0000158623, 7415.54, -120, 7415.54, 120, 278.941, -13.5964, 277.724, -135.354, 278.993, 106.588
19, 0.00000, 7415.54, -0.000016434, 7415.54, -120, 7415.54, 120, 291.503, -13.8984, 295.668, -134.52, 290.94, 106.874
19, 900.00000, 7415.54, -0.0000167781, 7415.54, -120, 7415.54, 120, 305.441, -14.7819, 294.372, -135.328, 283.188, 106.172
19, 1800.00000, 7415.54, -0.0000179815, 7415.54, -120, 7415.54, 120, 324.067, -14.4459, 309.916, -134.946, 302.972, 106.499
19, 2700.00000, 7415.54, -0.0000157825, 7415.54, -120, 7415.54, 120, 302.889, -16.4808, 300.473, -136.86, 283.316, 104.85
20, 0.00000, 7415.54, -1.7603E-6, 7415.54, -120, 7415.54, 120, 122.103, -37.3346, 124.363, -161.276, 119.63, 84.6472
20, 900.00000, 7415.54, -7.61904E-6, 7415.54, -120, 7415.54, 120, 180.021, -22.1502, 165.695, -147.137, 163.498, 97.6101
20, 1800.00000, 7415.54, -0.0000143824, 7415.54, -120, 7415.54, 120, 263.676, -15.0091, 265.092, -135.893, 253.301, 105.225
20, 2700.00000, 7415.54, -0.000013905, 7415.54, -120, 7415.54, 120, 254.692, -14.9775, 247.374, -136.152, 243.333, 104.918
21, 0.00000, 7415.54, -0.000014263, 7415.54, -120, 7415.54, 120, 262.548, -15.1422, 253.16, -136.358, 245.044, 105.029
