hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 7415.54, -0.0000177787, 7415.54, -120, 7415.54, 120, 277.181, -9.01, 253.839, -128.662, 257.027, 110.53
0, 1800.00000, 7415.54, -0.0000162007, 7415.54, -120, 7415.54, 120, 252.488, -8.99059, 246.949, -128.382, 262.673, 106.261
0, 2700.00000, 7415.54, -0.0000178458, 7415.54, -120, 7415.54, 120, 271.519, -7.9752, 256.957, -128.081, 261.787, 111.49
1, 0.00000, 7415.54, -0.0000174704, 7415.54, -120, 7415.54, 120, 266.955, -8.15976, 260.212, -127.54, 283.75, 108.123
1, 900.00000, 7415.54, -0.0000185458, 7415.54, -120, 7415.54, 120, 282.511, -8.02922, 266.647, -127.504, 272.401, 111.634
1, 1800.00000, 7415.54, -0.0000187242, 7415.54, -120, 7415.54, 120, 292.082, -9.03523, 294.946, -127.538, 298.781, 107.994
1, 2700.00000, 7415.54, -0.0000217287, 7415.54, -120, 7415.54, 120, 339.622, -9.12331, 313.185, -128.066, 310.677, 111.022
2, 0.00000, 7415.54, -0.0000209769, 7415.54, -120, 7415.54, 120, 330.144, -9.40669, 318.44, -128.506, 329.641, 107.837
2, 900.00000, 7415.54, -0.0000252894, 7415.54, -120, 7415.54, 120, 402.685, -9.88718, 364.459, -129.746, 365.588, 108.887
2, 1800.00000, 7415.54, -0.0000242257, 7415.54, -120, 7415.54, 120, 397.717, -11.0894, 380.935, -130.237, 394.648, 105.371
2, 2700.00000, 7415.54, -0.000025715, 7415.54, -120, 7415.54, 120, 436.41, -12.3392, 393.844, -130.173, 398.123, 107.528
3, 0.00000, 7415.54, -0.0000220217, 7415.54, -120, 7415.54, 120, 401.767, -14.863, 365.618, -131.07, 379.186, 104.789
3, 900.00000, 7415.54, -0.0000222116, 7415.54, -120, 7415.54, 120, 398.902, -14.3341, 358.188, -131.978, 364.986, 106.408
3, 1800.00000, 7415.54, -0.0000207659, 7415.54, -120, 7415.54, 120, 381.007, -15.0488, 355.271, -132.478, 372.827, 103.42
3, 2700.00000, 7415.54, -0.000020796, 7415.54, -120, 7415.54, 120, 377.525, -14.6954, 340.354, -132.816, 340.994, 105.763
4, 0.00000, 7415.54, -0.0000186569, 7415.54, -120, 7415.54, 120, 350.822, -15.8432, 327.067, -133.073, 348.389, 102.084
4, 900.00000, 7415.54, -0.0000192646, 7415.54, -120, 7415.54, 120, 356.019, -15.2835, 327.771, -133.337, 331.37, 105.446
4, 1800.00000, 7415.54, -0.0000170074, 7415.54, -120, 7415.54, 120, 319.648, -15.8242, 299.42, -133.797, 327.272, 101.909
4, 2700.00000, 7415.54, -0.0000167258, 7415.54, -120, 7415.54, 120, 325.5, -16.9132, 283.673, -133.58, 309.962, 104.039
5, 0.00000, 7415.54, -0.0000156524, 7415.54, -120, 7415.54, 120, 298.828, -16.3174, 279.569, -133.817, 318.363, 100.684
5, 900.00000, 7415.54, -0.0000172526, 7415.54, -120, 7415.54, 120, 319.835, -15.3816, 293.84, -134.017, 311.181, 104.285
5, 1800.00000, 7415.54, -0.0000173512, 7415.54, -120, 7415.54, 120, 351.317, -18.0957, 311.944, -134.473, 353.238, 101.413
5, 2700.00000, 7415.54, -0.0000198238, 7415.54, -120, 7415.54, 120, 385.857, -16.9241, 360.303, -134.878, 357.777, 104.502
6, 0.00000, 7415.54, -0.000019758, 7415.54, -120, 7415.54, 120, 386.26, -17.0572, 356.321, -134.552, 387.022, 102.347
6, 900.00000, 7415.54, -0.0000233973, 7415.54, -120, 7415.54, 120, 434.57, -15.4528, 391.425, -133.286, 398.152, 105.342
6, 1800.00000, 7415.54, -0.0000234108, 7415.54, -120, 7415.54, 120, 417.59, -14.1036, 389.789, -132.785, 418.874, 103.329
6, 2700.00000, 7415.54, -0.0000237662, 7415.54, -120, 7415.54, 120, 404.875, -12.4764, 386.655, -132.934, 377.418, 106.142
7, 0.00000, 7415.54, -0.0000218221, 7415.54, -120, 7415.54, 120, 397.63, -14.8214, 381.608, -132.747, 394.026, 103.24
7, 900.00000, 7415.54, -0.0000214982, 7415.54, -120, 7415.54, 120, 372.71, -13.1054, 359.236, -133.11, 357.259, 105.711
7, 1800.00000, 7415.54, -0.0000194634, 7415.54, -120, 7415.54, 120, 330.493, -12.3503, 315.335, -131.087, 336.434, 103.523
7, 2700.00000, 7415.54, -0.0000175077, 7415.54, -120, 7415.54, 120, 290.686, -11.5088, 268.55, -130.846, 280.104, 106.867
8, 0.00000, 7415.54, -0.0000152628, 7415.54, -120, 7415.54, 120, 255.186, -11.7655, 247.436, -131.045, 272.018, 103.54
8, 900.00000, 7415.54, -0.0000146303, 7415.54, -120, 7415.54, 120, 240.748, -11.1588, 215.248, -131.399, 223.259, 108.071
8, 1800.00000, 7415.54, -0.0000115531, 7415.54, -120, 7415.54, 120, 215.844, -15.6153, 194.48, -132.547, 216.312, 102.899
8, 2700.00000, 7415.54, -0.0000127039, 7415.54, -120, 7415.54, 120, 210.984, -11.5032, 187.761, -132.252, 210.908, 107.81
9, 0.00000, 7415.54, -0.000011126, 7415.54, -120, 7415.54, 120, 192.982, -13.0928, 171.503, -133.328, 216.569, 102.678
9, 900.00000, 7415.54, -0.000010652, 7415.54, -120, 7415.54, 120, 188.771, -13.8449, 159.472, -135.173, 190.629, 105.103
9, 1800.00000, 7415.54, -9.74405E-6, 7415.54, -120, 7415.54, 120, 179.145, -15.0812, 169.721, -135.51, 200.367, 100.274
9, 2700.00000, 7415.54, -0.0000108794, 7415.54, -120, 7415.54, 120, 203.259, -15.6122, 168.693, -137.157, 194.348, 103.934
10, 0.00000, 7415.54, -9.35475E-6, 7415.54, -120, 7415.54, 120, 189.564, -18.0917, 161.037, -139.176, 212.609, 97.9691
10, 900.00000, 7415.54, -0.0000122599, 7415.54, -120, 7415.54, 120, 246.354, -17.8604, 184.348, -140.94, 220.228, 100.618
10, 1800.00000, 7415.54, -9.80135E-6, 7415.54, -120, 7415.54, 120, 248.675, -23.8123, 186.324, -143.002, 246.781, 94.9747
10, 2700.00000, 7415.54, -0.0000107111, 7415.54, -120, 7415.54, 120, 280.459, -24.5035, 204.585, -144.18, 255.856, 97.4045
11, 0.00000, 7415.54, -8.7998E-6, 7415.54, -120, 7415.54, 120, 240.833, -25.4194, 187.584, -147.652, 252.571, 92.1175
11, 900.00000, 7415.54, -8.02025E-6, 7415.54, -120, 7415.54, 120, 241.827, -27.2867, 182.044, -149.803, 222.262, 92.6997
11, 1800.00000, 7415.54, -7.23433E-6, 7415.54, -120, 7415.54, 120, 238.593, -28.8453, 190.703, -151.211, 250.277, 89.0401
11, 2700.00000, 7415.54, -7.88015E-6, 7415.54, -120, 7415.54, 120, 243.419, -27.7227, 184.079, -152.424, 234.514, 92.2058
12, 0.00000, 7415.54, -6.02119E-6, 7415.54, -120, 7415.54, 120, 221.353, -30.5375, 164.701, -154.26, 242.771, 87.783
12, 900.00000, 7415.54, -7.17571E-6, 7415.54, -120, 7415.54, 120, 238.13, -28.9474, 174.724, -154.512, 221.991, 91.3649
12, 1800.00000, 7415.54, -4.65068E-6, 7415.54, -120, 7415.54, 120, 194.77, -32.3242, 153.884, -157.452, 216.048, 86.604
12, 2700.00000, 7415.54, -5.32283E-6, 7415.54, -120, 7415.54, 120, 198.651, -30.7524, 149.171, -157.657, 184.261, 89.0892
13, 0.00000, 7415.54, -2.95568E-6, 7415.54, -120, 7415.54, 120, 210.995, -37.5858, 145.506, -159.272, 203.512, 85.302
13, 900.00000, 7415.54, -4.62235E-6, 7415.54, -120, 7415.54, 120, 212.121, -33.4477, 154.552, -157.675, 185.511, 88.6563
13, 1800.00000, 7415.54, -5.69112E-6, 7415.54, -120, 7415.54, 120, 228.091, -31.7545, 174.475, -153.476, 231.273, 87.7273
13, 2700.00000, 7415.54, -8.12813E-6, 7415.54, -120, 7415.54, 120, 267.041, -28.7861, 201.923, -151.605, 241.239, 92.1443
14, 0.00000, 7415.54, -8.61373E-6, 7415.54, -120, 7415.54, 120, 271.374, -28.0737, 221.469, -149.426, 290.179, 91.0557
14, 900.00000, 7415.54, -0.0000122896, 7415.54, -120, 7415.54, 120, 316.855, -24.1746, 260.094, -145.313, 295.121, 96.348
14, 1800.00000, 7415.54, -0.0000115361, 7415.54, -120, 7415.54, 120, 306.013, -24.7826, 258.204, -144.592, 312.606, 94.2935
14, 2700.00000, 7415.54, -0.0000121207, 7415.54, -120, 7415.54, 120, 303.636, -23.5364, 255.607, -143.866, 288.186, 97.5878
15, 0.00000, 7415.54, -0.0000130206, 7415.54, -120, 7415.54, 120, 292.666, -20.9356, 265.085, -142.147, 313.573, 96.2068
15, 900.00000, 7415.54, -0.0000134879, 7415.54, -120, 7415.54, 120, 289.905, -19.7607, 246.99, -141.558, 276.774, 99.2993
15, 1800.00000, 7415.54, -0.0000120558, 7415.54, -120, 7415.54, 120, 248.169, -18.5577, 220.227, -139.661, 260.102, 97.1169
15, 2700.00000, 7415.54, -0.0000114243, 7415.54, -120, 7415.54, 120, 223.324, -17.0332, 191.909, -138.398, 222.905, 101.936
16, 0.00000, 7415.54, -0.0000110417, 7415.54, -120, 7415.54, 120, 207.93, -15.8669, 191.301, -135.542, 240.83, 99.3203
16, 900.00000, 7415.54, -0.0000127983, 7415.54, -120, 7415.54, 120, 215.709, -12.0568, 195.2, -133.17, 210.354, 105.409
16, 1800.00000, 7415.54, -0.0000117199, 7415.54, -120, 7415.54, 120, 195.28, -11.622, 186.759, -131.382, 209.155, 102.899
16, 2700.00000, 7415.54, -0.00001385, 7415.54, -120, 7415.54, 120, 221.181, -9.97959, 204.146, -130.024, 215.009, 109.649
17, 0.00000, 7415.54, -0.0000140136, 7415.54, -120, 7415.54, 120, 219.347, -9.16198, 212.811, -128.665, 236.035, 106.654
17, 900.00000, 7415.54, -0.0000155108, 7415.54, -120, 7415.54, 120, 237.899, -8.31382, 226.344, -127.993, 228.439, 111.434
17, 1800.00000, 7415.54, -0.0000155164, 7415.54, -120, 7415.54, 120, 239.315, -8.55068, 244.593, -127.267, 250.84, 107.387
17, 2700.00000, 7415.54, -0.0000178588, 7415.54, -120, 7415.54, 120, 274.144, -8.35688, 258.978, -128.01, 258.334, 110.421
18, 0.00000, 7415.54, -0.0000173625, 7415.54, -120, 7415.54, 120, 271.989, -9.20709, 269.37, -128.384, 285.562, 106.205
18, 900.00000, 7415.54, -0.0000204516, 7415.54, -120, 7415.54, 120, 328.492, -10.2274, 297.907, -129.506, 297.082, 108.683
18, 1800.00000, 7415.54, -0.0000181304, 7415.54, -120, 7415.54, 120, 334.227, -15.1999, 315.241, -130.689, 322.631, 104.381
18, 2700.00000, 7415.54, -0.000020798, 7415.54, -120, 7415.54, 120, 387.509, -15.5513, 346.709, -132.167, 333.138, 107.242
19, 0.00000, 7415.54, -0.0000193513, 7415.54, -120, 7415.54, 120, 368.739, -16.2648, 346.605, -132.026, 348.311, 104.329
19, 900.00000, 7415.54, -0.0000195895, 7415.54, -120, 7415.54, 120, 379.305, -16.7632, 331.725, -132.235, 328.88, 106.402
19, 1800.00000, 7415.54, -0.0000199639, 7415.54, -120, 7415.54, 120, 358.716, -14.3479, 340.037, -132.463, 354.091, 103.483
19, 2700.00000, 7415.54, -0.000020197, 7415.54, -120, 7415.54, 120, 393.079, -16.9215, 336.354, -132.893, 345.051, 105.79
20, 0.00000, 7415.54, -0.0000175968, 7415.54, -120, 7415.54, 120, 354.204, -17.9248, 309.863, -133.586, 324.911, 102.854
20, 900.00000, 7415.54, -0.0000186432, 7415.54, -120, 7415.54, 120, 340.461, -14.8902, 300.512, -133.503, 307.392, 105.816
20, 1800.00000, 7415.54, -0.0000162289, 7415.54, -120, 7415.54, 120, 322.358, -17.5297, 289.171, -133.331, 312.95, 102.625
20, 2700.00000, 7415.54, -0.0000174274, 7415.54, -120, 7415.54, 120, 310.403, -14.0432, 274.323, -132.751, 278.566, 106.092
21, 0.00000, 7415.54, -0.0000157962, 7415.54, -120, 7415.54, 120, 303.491, -16.5157, 273.591, -132.808, 293.354, 102.575
21, 900.00000, 7415.54, -0.0000183318, 7415.54, -120, 7415.54, 120, 323.852, -13.7623, 288.422, -132.96, 291.324, 105.389
21, 1800.00000, 7415.54, -0.0000184814, 7415.54, -120, 7415.54, 120, 331.018, -14.2365, 304.762, -133.736, 319.407, 102.227
21, 2700.00000, 7415.54, -0.000019784, 7415.54, -120, 7415.54, 120, 350.614, -13.8747, 347.594, -134.406, 342.309, 104.46
22, 0.00000, 7415.54, -0.0000193269, 7415.54, -120, 7415.54, 120, 353.2, -14.9152, 331.958, -134.828, 368.626, 100.95
22, 900.00000, 7415.54, -0.0000215935, 7415.54, -120, 7415.54, 120, 384.659, -14.0552, 345.556, -133.804, 355.473, 105.397
22, 1800.00000, 7415.54, -0.0000221415, 7415.54, -120, 7415.54, 120, 393.15, -13.9448, 370.197, -133.702, 393.44, 102.962
22, 2700.00000, 7415.54, -0.0000226656, 7415.54, -120, 7415.54, 120, 390.77, -12.9082, 355.896, -133.26, 362.71, 105.771
23, 0.00000, 7415.54, -0.0000213905, 7415.54, -120, 7415.54, 120, 373.995, -13.4054, 354.752, -133.119, 366.779, 103.154
23, 900.00000, 7415.54, -0.0000197453, 7415.54, -120, 7415.54, 120, 348.29, -13.7119, 314.789, -132.572, 320.998, 105.935
