hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 2055.45, 9.00998, 1882.35, 8.66219, 1906, 9.46965
0, 1800.00000, 1872.33, 8.99057, 1831.26, 8.38195, 1947.86, 13.739
0, 2700.00000, 2013.46, 7.97518, 1905.47, 8.08055, 1941.29, 8.51011
1, 0.00000, 1979.61, 8.15974, 1929.61, 7.5402, 2104.16, 11.8771
1, 900.00000, 2094.97, 8.0292, 1977.33, 7.50407, 2020, 8.36589
1, 1800.00000, 2165.95, 9.03521, 2187.18, 7.53844, 2215.63, 12.0062
1, 2700.00000, 2518.48, 9.12329, 2322.44, 8.06587, 2303.84, 8.97814
2, 0.00000, 2448.19, 9.40667, 2361.4, 8.5055, 2444.47, 12.1627
2, 900.00000, 2986.13, 9.88715, 2702.66, 9.74616, 2711.03, 11.1129
2, 1800.00000, 2949.29, 11.0894, 2824.84, 10.2367, 2926.53, 14.6287
2, 2700.00000, 3236.21, 12.3392, 2920.57, 10.1733, 2952.3, 12.4716
3, 0.00000, 2979.32, 14.863, 2711.26, 11.07, 2811.87, 15.2112
3, 900.00000, 2958.07, 14.3341, 2656.16, 11.9778, 2706.57, 13.5921
3, 1800.00000, 2825.38, 15.0488, 2634.53, 12.4781, 2764.71, 16.5798
3, 2700.00000, 2799.55, 14.6954, 2523.91, 12.8157, 2528.65, 14.2369
4, 0.00000, 2601.53, 15.8432, 2425.38, 13.0727, 2583.49, 17.9155
4, 900.00000, 2640.08, 15.2834, 2430.6, 13.3367, 2457.29, 14.5543
4, 1800.00000, 2370.37, 15.8242, 2220.36, 13.7975, 2426.9, 18.0913
4, 2700.00000, 2413.76, 16.9132, 2103.59, 13.5797, 2298.54, 15.9608
5, 0.00000, 2215.97, 16.3174, 2073.15, 13.8174, 2360.83, 19.3162
5, 900.00000, 2371.75, 15.3816, 2178.99, 14.0174, 2307.58, 15.7147
5, 1800.00000, 2605.2, 18.0957, 2313.23, 14.4727, 2619.45, 18.5874
5, 2700.00000, 2861.34, 16.924, 2671.84, 14.8776, 2653.11, 15.4982
6, 0.00000, 2864.33, 17.0572, 2642.31, 14.5522, 2869.97, 17.6533
