hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 1763.74, 11.3176, 1707.25, 11.8676, 1665.43, 10.7903
0, 1800.00000, 1761.21, 11.9173, 1649.47, 11.8484, 1589.82, 10.6815
0, 2700.00000, 764.777, 24.9672, 759.824, 28.4022, 737.702, 24.0429
1, 0.00000, 1046.6, 15.2882, 984.734, 19.9647, 994.297, 15.8132
1, 900.00000, 1814.67, 9.63864, 1800.82, 10.5718, 1736.55, 9.5638
1, 1800.00000, 1934.46, 10.0888, 1926.42, 10.9489, 1844.14, 9.56907
1, 2700.00000, 2100.6, 10.1619, 2064.93, 10.9984, 2026.49, 9.82473
2, 0.00000, 2162.37, 10.7631, 2080.96, 10.8672, 2032, 9.82978
2, 900.00000, 2010.74, 13.9631, 1994.18, 14.6043, 1929.84, 13.2761
2, 1800.00000, 2309.61, 13.1987, 2309.97, 13.8667, 2223.05, 12.8893
2, 2700.00000, 2601.87, 12.5947, 2550.46, 13.5363, 2502.74, 12.4716
3, 0.00000, 2408.85, 12.6778, 2396.81, 13.6791, 2382.18, 12.8623
3, 900.00000, 2435.16, 13.838, 2391.87, 15.2559, 2292.6, 13.9607
3, 1800.00000, 2476.28, 13.9904, 2382.18, 15.263, 2353.21, 13.6797
3, 2700.00000, 2345.61, 15.1766, 2222.49, 15.8467, 2183.86, 14.2691
4, 0.00000, 2084.52, 15.6218, 2047.74, 17.1107, 1960.85, 15.2715
4, 900.00000, 2142.25, 15.2004, 2106.78, 16.5165, 1999.6, 14.9652
4, 1800.00000, 2006.4, 15.379, 1988.2, 16.5947, 1916.71, 15.1072
4, 2700.00000, 1961.64, 15.6006, 1927.42, 17.015, 1853.34, 15.4851
5, 0.00000, 1875.87, 15.8519, 1842.36, 17.1834, 1790.63, 15.6192
5, 900.00000, 1947.82, 15.9201, 1913.19, 17.0351, 1862.05, 15.4962
5, 1800.00000, 1749.75, 18.6138, 1750.48, 20.7079, 1710.72, 18.3177
5, 2700.00000, 1995.69, 17.1668, 1929.2, 18.7994, 1976.38, 16.8986
6, 0.00000, 2333.5, 14.8705, 2289.69, 16.1928, 2316.67, 14.8593
6, 900.00000, 2517.85, 14.037, 2457.73, 15.3926, 2513.65, 14.1902
6, 1800.00000, 2614.24, 13.4277, 2528.25, 14.8226, 2546.93, 13.4481
6, 2700.00000, 2485.1, 13.412, 2393.82, 15.2492, 2359.65, 13.2538
7, 0.00000, 2339.44, 14.255, 2291.15, 17.071, 2311.05, 14.4064
7, 900.00000, 2252.03, 14.0196, 2126.1, 16.2807, 2134.85, 13.9405
7, 1800.00000, 2098.33, 12.4392, 2036.76, 14.3685, 2037.54, 12.6728
7, 2700.00000, 1897.78, 11.951, 1838.02, 13.4218, 1781.82, 11.8837
8, 0.00000, 1808.18, 11.522, 1770.92, 12.9926, 1749.4, 11.5791
8, 900.00000, 1688.14, 11.119, 1648.79, 12.5409, 1629.78, 10.9634
8, 1800.00000, 1555.13, 11.3269, 1554.28, 12.6365, 1480.36, 10.8887
8, 2700.00000, 461.957, 44.3371, 512.474, 46.2747, 475.857, 39.4538
9, 0.00000, 594.753, 23.3524, 542.647, 35.3754, 572.133, 23.9124
9, 900.00000, 1627.55, 10.2804, 1617.53, 11.0684, 1562.61, 9.92408
9, 1800.00000, 1670.21, 10.1009, 1667.42, 10.9914, 1629.09, 9.59725
9, 2700.00000, 1788.58, 10.2451, 1782.18, 11.2687, 1783.28, 9.89357
10, 0.00000, 1807.8, 10.6901, 1803.31, 11.4833, 1821.39, 10.3733
10, 900.00000, 1742.89, 13.1465, 1780, 14.2441, 1767.85, 12.5091
10, 1800.00000, 1921.83, 13.6285, 1945.58, 15.0694, 1970.29, 13.2046
10, 2700.00000, 2294.92, 13.4871, 2268.02, 14.7533, 2285.5, 12.9495
11, 0.00000, 2204.15, 13.4562, 2206.9, 15.03, 2176.35, 13.4973
11, 900.00000, 2185.14, 14.3253, 2151.37, 15.7266, 2182.07, 14.2751
11, 1800.00000, 2354.29, 14.5655, 2243.18, 15.96, 2297.52, 13.9552
11, 2700.00000, 2254.37, 14.9379, 2185.33, 16.3869, 2237.17, 14.6383
12, 0.00000, 2116.17, 15.3742, 2098.54, 16.8677, 2081.7, 15.0207
12, 900.00000, 2170.35, 15.166, 2141.98, 16.2764, 2107.66, 14.9486
12, 1800.00000, 2045.88, 14.8138, 1948.25, 16.1639, 1954.47, 14.5992
12, 2700.00000, 1983.48, 14.6655, 1930.45, 16.1308, 1917.52, 14.5291
13, 0.00000, 1942.98, 14.7509, 1874.7, 16.1713, 1893.86, 15.0157
13, 900.00000, 2000.68, 14.6256, 1920.45, 16.2461, 1932.46, 14.3107
13, 1800.00000, 1856.18, 16.518, 1795.75, 18.8702, 1854.63, 16.4262
13, 2700.00000, 1870.27, 17.5711, 1782.64, 20.7173, 1861.86, 17.7514
14, 0.00000, 2326.12, 14.8754, 2303.1, 16.9131, 2307.9, 15.0936
14, 900.00000, 2484.73, 14.239, 2445.35, 15.9208, 2450.7, 14.2298
14, 1800.00000, 2560.13, 13.7672, 2430.41, 15.3939, 2444.26, 14.037
14, 2700.00000, 2448.33, 13.7812, 2389.08, 15.4323, 2352.76, 13.68
15, 0.00000, 2350.21, 15.0134, 2303.31, 17.235, 2297.56, 14.8998
15, 900.00000, 1899.57, 16.2105, 1798.2, 19.5231, 1852.6, 15.6477
15, 1800.00000, 1922.86, 14.3368, 1797.57, 15.9566, 1798.09, 13.8516
