bus,v
p13udm100243,1.0127865948388217
p13udm100244,1.0130150226068655
p13udm100255,1.0135820288615665
p13udm100256,1.0123268477463552
p13udm100257,1.0132224668734682
p13udm100258,1.0136277281703518
p13udm100264,1.0093442087374869
p13udm100265,1.0097952873581808
p13udm100266,1.0113158458156013
p13udm100267,1.0116908029465967
p13udm100268,1.010661879718829
p13udm100269,1.0111257113675214
p13udm101036,1.0115413933624593
p13udm101038,1.0122335961484634
p13udm101040,1.0123168765050725
p13udm101044,1.0141376917931568
p13udm101045,1.0146339941700186
p13udm101081,1.0099851231913268
p13udm102142,1.0046176316619493
p13udm102143,1.0057973439080345
p13udm102163,1.0102853495757456
p13udm102164,1.0106577730846875
p13udm102165,1.007505481451775
p13udm102168,1.0101494520701142
p13udm102170,1.0113730532936818
p13udm102181,1.0103405573682789
p13udm102184,1.011032679724932
p13udm102186,1.0100048258169023
p13udm102188,1.0109606815235577
p13udm102198,1.0043950549489815
p13udm102199,1.0103663706095556
p13udm102201,1.0084226501279288
p13udm102202,1.006926232490776
p13udm20471,1.008231065168855
p13udm20473,1.0085628189291267
p13udm20475,1.0072807863631332
p13udm20505,1.0104915283773397
p13udm20506,1.0106539842035334
p13udm20508,1.003703640444155
p13udm20509,1.0061157984141347
p13udm20510,1.0106373600449554
p13udm20512,1.0098958540278977
p13udm20523,1.0125053159148139
p13udm20524,1.012950413416668
p13udm20525,1.0123900891690574
p13udm20527,1.0116443513773774
p13udm20530,1.0120182953679224
p13udm20532,1.0111315464245776
p13udm20534,1.009543761650102
p13udm20535,1.0090341940398404
p13udm20536,1.0102862174861373
p13udm20537,1.0083941571821846
p13udm20544,1.0115717126116222
p13udm20545,1.0118911857768107
p13udm21715,1.0059290675659187
p13udm21716,1.006547739047293
p13udm21720,1.0051246704467405
p13udm21722,1.0055320328587702
p13udm21723,1.0045527529954092
p13udm21724,1.0035409005818008
p13udm21725,1.0041684808334588
p13udm21733,1.010265247376334
p13udm27465,1.0114067782806522
p13udm27466,1.010632870944994
p13udm27470,1.0093582183488428
p13udm27471,1.0102641152640355
p13udm27474,1.0095640520863993
p13udm27475,1.0092199518541785
p13udm27477,1.0102441324859202
p13udm27478,1.0106625885107674
p13udm27479,1.0109100119147698
p13udm27480,1.0104170177743885
p13udm27486,1.0065125166898394
p13udm27487,1.009831883816324
p13udm27489,1.0103335319416142
p13udm27490,1.008889172248776
p13udm27494,1.0068343635437316
p13udm27495,1.01084615659113
p13udm27496,1.00949647368165
p13udm27498,1.0102225782149543
p13udm27499,1.0106161897076555
p13udm27500,1.0099518478103953
p13udm27501,1.012378757973678
p13udm27503,1.0125999038209206
p13udm27508,1.011845951304935
p13udm27511,1.0128343019967585
p13udm27512,1.0134013646889373
p13udm27513,1.0131162160447849
p13udm27514,1.0120825646579383
p13udm27517,1.0086764377589703
p13udm27519,1.0087200109821453
p13udm27521,1.0082142351005912
p13udm27523,1.009662907570445
p13udm27524,1.0071762109363305
p13udm27526,1.0079843784820053
p13udm27527,1.0069318302339814
p13udm27528,1.0090754716068278
p13udm27531,1.0099189954619523
p13udm27532,1.0117742217682513
p13udm27534,1.011883561140127
p13udm27536,1.009232049973951
p13udm27538,1.0073988349913514
p13udm27542,1.0086524145526878
p13udm27543,1.0108518489817808
p13udm27545,1.012440443122085
p13udm27546,1.0127011352424184
p13udm27548,1.0128258462793247
p13udm27549,1.0136939103507832
p13udm27551,1.0112516999341152
p13udm27552,1.0092762136845397
p13udm27553,1.0104440221666227
p13udm27555,1.0110508839734815
p13udm27556,1.0079597974328731
p13udm27558,1.0076044871118024
p13udm27560,1.0087208685240239
p13udm27561,1.0101922548509048
p13udm27562,1.010991901673831
p13udm27563,1.0104726461440379
p13udm27565,1.0107040306880086
p13udm27566,1.0104747226473012
p13udm27570,1.010629691001816
p13udm27572,1.0114556997903983
p13udm27573,1.0093493039381982
p13udm27576,1.0106142662894482
p13udm27578,1.0106959466718257
p13udm27580,1.0111666463348357
p13udm27581,1.0095220448468556
p13udm27582,1.0105133592822475
p13udm27584,1.012013440272098
p13udm27585,1.0068169057225518
p13udm27587,1.0100755440287847
p13udm27588,1.0087451131712704
p13udm27590,1.0113480056541342
p13udm27591,1.0120780685985342
p13udm27592,1.0097189601588994
p13udm27594,1.011278234998319
p13udm27595,1.0116828503822133
p13udm27597,1.010589006340707
p13udm27599,1.0112885385289705
p13udm27603,1.011299652936048
p13udm27607,1.0115301724470656
p13udm27608,1.0115465858560513
p13udm27609,1.0109088195742517
p13udm27610,1.0111187740287009
p13udm27613,1.014676151335292
p13udm27614,1.0118393871394413
p13udm27615,1.0122155970221107
p13udm27616,1.011539215017399
p13udm27618,1.013358705120377
p13udm27620,1.011290080655192
p13udm27622,1.0105338864207014
p13udm27623,1.0101918975622106
p13udm27625,1.011165803602048
p13udm27629,1.0069111506366726
p13udm27630,1.008403627275841
p13udm27631,1.0089421239687042
p13udm27633,1.0090477203709012
p13udm27635,1.0104446470853454
p13udm27636,1.0097625052387276
p13udm27637,1.010293901106519
p13udm27640,1.0089771216470598
p13udm27642,1.0089975125591195
p13udm27643,1.0060047371655185
p13udm27646,1.0091332828954798
p13udm27648,1.0108446925351209
p13udm27649,1.0100113289101365
p13udm27651,1.0110955051163146
p13udm27654,1.0108226796712443
