hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
15, 2700.00000, 2445.83, 3.60057, 2510.67, 7.22408, 2384.91, 3.80634
16, 0.00000, 2359.12, 3.04021, 2294.8, 6.54917, 2309.27, 3.30976
16, 900.00000, 2285.03, 2.29818, 2283.74, 5.17231, 2233.79, 2.55188
16, 1800.00000, 2192.89, 1.7528, 2110.14, 5.05053, 2154.75, 2.21968
16, 2700.00000, 1129.22, 7.23056, 1216.27, 12.3005, 1227.63, 6.63413
17, 0.00000, 437.608, 27.2121, 535.966, 35.6865, 618.201, 18.2858
17, 900.00000, 2233.99, 1.63773, 2256.28, 4.57613, 2228.24, 2.2004
17, 1800.00000, 2315.25, 1.9147, 2246.18, 4.68877, 2322.03, 2.62536
17, 2700.00000, 2460.19, 2.47306, 2548.42, 5.24779, 2423.34, 3.1287
18, 0.00000, 2577.04, 2.99076, 2591.45, 6.11365, 2537.32, 3.56859
18, 900.00000, 2448.79, 5.18485, 2496.26, 7.9417, 2395.92, 5.16391
18, 1800.00000, 537.248, 88.5091, 685.733, 76.5193, 534.615, 59.7674
18, 2700.00000, 2754.23, 6.07834, 2846.5, 9.22638, 2744.58, 6.17764
19, 0.00000, 2859.39, 5.65356, 2860.58, 9.44893, 2811.03, 5.91286
19, 900.00000, 2840.36, 5.80186, 3014.06, 9.75437, 2829.8, 6.32807
19, 1800.00000, 2849.23, 5.78162, 2900.35, 9.81695, 2787.56, 6.16511
19, 2700.00000, 2553.66, 7.89114, 2702.43, 11.1407, 2530.85, 7.82836
20, 0.00000, 590.1, 99.4473, 750.569, 80.6214, 589.923, 64.6274
20, 900.00000, 1018.94, 24.1805, 1339.46, 25.1251, 1144.35, 20.1538
20, 1800.00000, 2624.89, 5.80232, 2807.58, 10.1842, 2639.75, 6.32208
20, 2700.00000, 2590.69, 5.88062, 2698.45, 8.28146, 2610.02, 6.3702
21, 0.00000, 2539.2, 5.62649, 2591.63, 8.55341, 2599.97, 6.28158
21, 900.00000, 2584.29, 5.66704, 2702.76, 8.2012, 2582.47, 6.18663
21, 1800.00000, 1278.39, 19.122, 1432.67, 23.4726, 1456.68, 16.161
21, 2700.00000, 1636.57, 13.9755, 1901.76, 17.7178, 1774.01, 12.8447
22, 0.00000, 2900.79, 6.67655, 2993.89, 10.4896, 2879.82, 7.06868
22, 900.00000, 2959.53, 6.46648, 3101.32, 9.2689, 2921.76, 6.82928
22, 1800.00000, 3040.83, 6.36683, 3198.5, 10.934, 3013.11, 6.77307
22, 2700.00000, 2953.04, 6.04943, 3130.36, 10.2302, 2920.46, 6.23704
23, 0.00000, 2467.47, 7.66561, 2488.88, 11.8122, 2480.18, 7.59331
23, 900.00000, 960.945, 25.3225, 1191.49, 28.7422, 1099.56, 19.8985
23, 1800.00000, 1992.33, 5.79727, 2037.65, 10.6601, 2019.54, 5.97707
