hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 7343.54, -0.0000291245, 7343.54, -120, 7343.54, 120, 400.371, -3.72231, 404.648, -126.15, 398.064, 115.814
0, 1800.00000, 7343.54, -0.0000289201, 7343.54, -120, 7343.54, 120, 397.55, -3.72065, 386.955, -126.248, 391.877, 115.93
0, 2700.00000, 7343.55, -3.75417E-6, 7343.55, -120, 7343.55, 120, 115.639, -27.798, 143.38, -148.886, 145.703, 100.094
1, 0.00000, 7343.55, -0.0000115639, 7343.55, -120, 7343.55, 120, 192.882, -12.0258, 202.07, -136.102, 215.166, 109.161
1, 900.00000, 7343.54, -0.0000300757, 7343.54, -120, 7343.54, 120, 412.76, -3.63953, 417.318, -125.727, 411.75, 115.881
1, 1800.00000, 7343.54, -0.0000309689, 7343.54, -120, 7343.54, 120, 428.213, -4.01574, 419.699, -126.067, 424.619, 115.641
1, 2700.00000, 7343.54, -0.0000324218, 7343.54, -120, 7343.54, 120, 451.941, -4.41672, 461.408, -126.181, 438.561, 115.38
2, 0.00000, 7343.54, -0.000032901, 7343.54, -120, 7343.54, 120, 459.889, -4.5523, 460.978, -126.583, 449.034, 115.097
2, 900.00000, 7343.54, -0.0000250643, 7343.54, -120, 7343.54, 120, 377.464, -7.968, 401.59, -130.519, 383.257, 111.945
2, 1800.00000, 7343.54, -0.0000302772, 7343.54, -120, 7343.54, 120, 445.593, -6.96062, 462.862, -130.787, 439.942, 112.954
2, 2700.00000, 7343.54, -0.0000353215, 7343.54, -120, 7343.54, 120, 513.135, -6.37754, 545.041, -130.434, 502.382, 113.355
3, 0.00000, 7343.54, -0.0000341996, 7343.54, -120, 7343.54, 120, 495.359, -6.24013, 510.964, -130.604, 490.783, 113.261
3, 900.00000, 7343.54, -0.0000337146, 7343.54, -120, 7343.54, 120, 492.562, -6.63349, 513.57, -130.206, 489.376, 112.907
3, 1800.00000, 7343.54, -0.000033152, 7343.54, -120, 7343.54, 120, 483.815, -6.58357, 494.457, -130.482, 479.109, 112.923
