hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
15, 2700.00000, 1685.07, 14.8402, 1651.36, 13.193, 1703.08, 15.1644
16, 0.00000, 1538.88, 15.1591, 1600.37, 12.7347, 1524.17, 15.2677
16, 900.00000, 1469.36, 12.9561, 1470.25, 11.9859, 1532.66, 13.9915
16, 1800.00000, 1379.38, 14.5091, 1400.82, 11.7076, 1412.94, 14.1593
16, 2700.00000, 864.351, 32.0898, 1020.71, 20.9274, 1072.21, 24.7698
17, 0.00000, 673.265, 61.8675, 786.93, 32.0624, 759.2, 44.1031
17, 900.00000, 1410.94, 12.8797, 1427.09, 11.3155, 1648.27, 17.4622
17, 1800.00000, 1445.26, 13.7822, 1460.54, 10.7325, 1528.79, 12.8254
17, 2700.00000, 1613.75, 12.5711, 1593.74, 10.6568, 1872.3, 18.9063
18, 0.00000, 1687.65, 14.1367, 1672.92, 10.9833, 1772.78, 12.8785
18, 900.00000, 1624.07, 16.4056, 1653.72, 13.5817, 1856.33, 15.5845
18, 1800.00000, 1176.83, 92.2221, 864.3, 48.3003, 1144.76, 60.4148
18, 2700.00000, 1891.1, 16.2102, 1961.41, 14.1479, 2295.54, 21.1765
19, 0.00000, 1975.85, 16.165, 2006.83, 13.9724, 2222.26, 21.0103
19, 900.00000, 2052.61, 16.5522, 2004.9, 14.0605, 2169.88, 17.615
19, 1800.00000, 2014.04, 17.2946, 1958.52, 13.5117, 2156.52, 21.8684
19, 2700.00000, 1852.87, 20.6013, 1797.79, 15.9958, 2139.68, 23.6885
20, 0.00000, 2140.22, 78.0111, 860.521, 53.7533, 944.885, 59.4218
20, 900.00000, 1237.98, 41.7099, 1309.21, 28.1983, 1476.51, 34.4408
20, 1800.00000, 1922.65, 18.5926, 1856.51, 14.6959, 1758.71, 15.8815
20, 2700.00000, 1766.89, 16.18, 1718.03, 14.6374, 1788.94, 15.5091
21, 0.00000, 1791.22, 17.0316, 1838.44, 21.4223, 1805.6, 16.7017
21, 900.00000, 1787.13, 16.0605, 2151.71, 20.4798, 1828.47, 16.6493
21, 1800.00000, 1170.4, 43.4891, 1296.19, 28.6597, 1229.05, 35.192
21, 2700.00000, 1467.34, 30.1329, 1519.42, 24.0881, 1667.8, 29.9874
22, 0.00000, 2150.06, 17.5417, 2039.21, 15.512, 2090.8, 18.1506
22, 900.00000, 2162.06, 16.1701, 2141.36, 15.1228, 2269.94, 19.5367
22, 1800.00000, 2210.15, 16.9523, 2194.64, 14.6589, 2319.58, 21.388
22, 2700.00000, 2131.92, 16.0368, 2075.79, 14.5057, 2339.48, 20.4518
23, 0.00000, 1959.48, 21.7817, 1827.08, 17.2788, 1843.43, 19.1806
23, 900.00000, 1070.49, 47.9331, 1140.95, 30.5402, 1609.84, 39.0892
23, 1800.00000, 1503.75, 22.1409, 1549.1, 16.6868, 1770.41, 26.778
23, 2700.00000, 1646.07, 17.2962, 1551.59, 13.2852, 1887.17, 21.3141
24, 0.00000, 1601.87, 17.4361, 1486.78, 12.8329, 1538.23, 14.573
24, 900.00000, 1567.7, 15.8224, 1458.99, 12.2958, 1557.37, 13.3577
24, 1800.00000, 1381.8, 15.1701, 1376.78, 11.8022, 1456.43, 14.0504
24, 2700.00000, 991.326, 25.8165, 1151.73, 18.3374, 1220.8, 21.1691
25, 0.00000, 946.794, 29.3803, 1091.89, 18.5932, 1096.72, 23.4312
25, 900.00000, 1422.49, 13.3369, 1443.8, 11.8517, 1580.83, 12.8344
25, 1800.00000, 1491.98, 14.7348, 1507.2, 11.7619, 1631.96, 15.0287
