bus,v
p13udm100784,1.017496342733521
p13udm100786,1.0172963710232472
p13udm100969,1.0244327752994153
p13udm100973,1.0224079997369078
p13udm100974,1.0228594737860557
p13udm100976,1.0181498087908327
p13udm100979,1.0216192898812864
p13udm100980,1.0218281916058907
p13udm19529,1.0265241719133362
p13udm19530,1.0252782438884616
p13udm19531,1.0261406740692371
p13udm19532,1.0263207863363775
p13udm19533,1.026002170278038
p13udm19534,1.0257736342999597
p13udm19535,1.025560512522141
p13udm19536,1.0263934600439073
p13udm19584,1.0245597460847207
p13udm19585,1.0236198558379561
p13udm19587,1.0226119699148035
p13udm19588,1.0211356915374958
p13udm19589,1.021269977903607
p13udm19594,1.025426070951318
p13udm19596,1.025214143591544
p13udm19600,1.0238779673165292
p13udm19603,1.0239341868825766
p13udm19618,1.0235613196437288
p13udm19619,1.023118233772008
p13udm19621,1.021905449107686
p13udm19622,1.0224914193624013
p13udm19624,1.0218174564210014
p13udm19626,1.0215360151591462
p13udm19627,1.0210977243316595
p13udm19629,1.020832879836553
p13udm19631,1.0216251264571088
p13udm19633,1.0235056778426932
p13udm19634,1.0226531085787887
p13udm19635,1.0243467308896501
p13udm19637,1.0241021425519778
p13udm19638,1.0229904301534631
p13udm19640,1.0241827449857173
p13udm19642,1.0245839949007034
p13udm19643,1.0250016404019657
p13udm19645,1.0232446195590659
p13udm19646,1.02403368638546
p13udm19650,1.0210816956487903
p13udm19651,1.023994706923551
p13udm19653,1.0234911528645847
p13udm19665,1.022458703530166
p13udm19667,1.0231983645107907
p13udm19668,1.0231884075501947
p13udm19674,0.995368594178951
p13udm19677,0.9829416576059917
p13udm19679,0.9819271206500377
p13udm19682,1.0184684592449695
p13udm19686,1.0232655353578326
p13udm19687,1.0235144830403424
p13udm19688,1.02360681822869
p13udm19690,1.0225861536764276
p13udm19691,1.021866134523246
p13udm19697,1.022873740046089
p13udm19699,1.021954115717668
p13udm19701,1.017434457654883
p13udm19704,1.0214526594929774
p13udm19705,1.0164348468377087
p13udm19707,1.02216563283375
p13udm19709,1.022652231315154
p13udm19712,1.0241439961038068
p13udm19714,1.0236038648854464
p13udm19715,1.0237873962322528
p13udm19716,1.0226394421816059
p13udm19717,1.021474930630859
p13udm19720,1.0219900238232715
p13udm19721,1.021345193699016
p13udm19914,1.0211110644265018
p13udm19916,1.021225275833747
p13udm19917,1.0233388383365125
p13udm19919,1.0228302492407926
p13udm19920,1.0222403440067795
p13udm19922,1.0217452773676414
p13udm19923,1.0212835396063835
p13udm19924,1.0222794875802574
p13udm19925,1.0224389216544887
p13udm19926,1.0228745658237988
p13udm19927,1.0224164228306392
p13udm19930,1.022034825023404
p13udm19931,1.0224834283341675
p13udm19934,1.0215868389421012
p13udm19941,1.0170733307631172
p13udm19942,1.021019785824274
p13udm19944,1.0212775912290177
p13udm19945,1.0207858227757798
p13udm19950,1.0178878648892196
p13udm19953,1.0164864986394448
p13udm19957,1.0245749650026559
p13udm19960,1.0208909161363213
p13udm19962,1.0215231859798215
p13udm19964,1.0205893229837038
p13udm19965,1.022606298011516
p13udm19967,1.0220204203411642
p13udm19968,1.0219542649186528
p13udm19970,1.0226399994747086
p13udm19972,1.0209488047142623
p13udm19973,1.0169767834123769
p13udm19974,1.0210107801058856
p13udm19976,1.0214979907220596
p13udm19978,1.0183718104427812
p13udm19979,1.019245309355266
p13udm19986,1.0227706689596006
p13udm19987,1.0227130853177013
p13udm19988,1.0225530637091038
p13udm19989,1.0236322785907412
p13udm19991,1.0234862170652441
p13udm19992,1.0238051882424863
p13udm19995,1.0228544577915026
p13udm19996,1.0229544095817666
p13udm19997,1.0231895006296676
p13udm19999,1.0222960481094348
p13udm20000,1.022914072110459
p13udm20001,1.0246824874700649
p13udm20002,1.024545206743003
p13udm20004,1.022018953445621
p13udm20006,1.0219033042509054
p13udm20007,1.020293757868011
p13udm20008,1.0215781607074388
p13udm20009,1.0213749544921014
p13udm20010,1.0215559651871486
p13udm20012,1.0227093820151674
p13udm20014,1.022848474554917
p13udm20017,1.0228523750521799
p13udm20018,1.0232627577285602
p13udm20021,1.0225946850019154
p13udm20023,1.0231920789518638
p13udm20024,1.0239425398480861
p13udm20025,1.0223125581190757
p13udm20029,1.0240538485884678
p13udm20032,1.0230515060044552
p13udm20040,1.0164557577222408
p13udm20042,1.0201071214382464
p13udm20044,1.020869026911888
p13udm20045,1.0190110222070095
p13udm20047,1.0193597796610185
p13udm20051,1.0215992382396988
p13udm20054,1.0155596610520445
p13udm20056,1.02004712758624
p13udm20057,1.0211371764845953
p13udm20062,1.0180515827264618
p13udm20066,1.0175118757417128
p13udm20067,1.0177447212907242
p13udm20068,1.0182556881559164
p13udm20069,1.0182032751474552
p13udm20070,1.017626759632317
p13udm20072,1.0176770442415806
p13udm20077,1.0165903223837018
p13udm20086,1.019509553285837
p13udm20089,1.0186065344515915
p13udm20091,1.0191924578216134
p13udm20093,1.019593380165553
p13udm20096,1.0172323267970187
p13udm20097,1.017694547001525
p13udm20099,1.0194125619086782
p13udm20101,1.0194293404839867
p13udm20102,1.0191718986133393
p13udm20103,1.01986223606254
p13udm20104,1.0188013331462498
p13udm20107,1.0184666988217201
p13udm20112,1.017425477310478
p13udm20113,1.019626140348397
p13udm20117,1.0140002151292848
p13udm20118,1.0157737433012064
p13udm20120,1.0151564414237808
p13udm20121,1.0114076386166502
p13udm31240,1.0219663218139838
p13udm31241,1.02108904457319
p13udm31242,1.0224314466715516
p13udm31244,1.0221635307963397
p13udm31248,1.0213086194233254
p13udm31249,1.0184062737790882
p13udm31251,1.0191227617999181
p13udm31253,1.0185555055988194
p13udm31254,1.0184377523424366
p13udm31255,1.0191223019619753
p13udm31258,1.0210401987667082
p13udm31259,1.0224903892457058
p13udm31264,1.022286854021882
p13udm31265,1.0226338161075712
p13udm31268,1.0220827060001423
p13udm31271,1.0191902431712243
p13udm31272,1.0172561063050631
p13udm31273,1.016593634871953
p13udm31276,1.0174272644489373
p13udm31278,1.016898678433371
p13udm31280,1.0188201085128477
p13udm31283,1.017173558366275
p13udm31289,1.016386774110284
p13udm31290,1.0172542082008915
p13udm31291,1.0187603224099648
p13udm31292,1.0173051935787487
p13udm31293,1.0192523963379383
p13udm31295,1.0184156512258962
p13udm31296,1.0194151492322447
p13udm31298,1.0196576748275867
p13udm31300,1.02052863553679
p13udm31302,1.0206414161514588
p13udm31303,1.0208085568332765
p13udm31304,1.0199346547280381
p13udm31305,1.020623952786724
p13udm31306,1.0195504260730268
p13udm31312,1.0211331919498625
p13udm31313,1.0183601544269294
p13udm31314,1.0173500216165892
p13udm31315,1.0190183651251212
p13udm31317,1.0193127484935969
p13udm31318,1.0173388857612427
p13udm31319,1.0185791241120294
p13udm31320,1.0195236624175292
p13udm31322,1.0190459152950342
p13udm31324,1.019285255713319
p13udm31325,1.017395290916512
p13udm31328,1.0179968582247922
p13udm31329,1.0183510422236306
p13udm31330,1.0192766550391823
p13udm31334,1.0184679871255604
