hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 2898.5, 12.4823, 2916.32, 13.3879, 3036.11, 13.4131
0, 1800.00000, 2759.54, 12.5757, 2836.51, 13.1403, 2960.47, 13.5146
0, 2700.00000, 1271.2, 52.8364, 1503.64, 40.1312, 1593.61, 37.2494
1, 0.00000, 1682.55, 31.2239, 1915.85, 26.1763, 2069.62, 25.2627
1, 900.00000, 2957.51, 11.76, 3000.1, 12.133, 3104.83, 12.8734
1, 1800.00000, 3040.24, 12.0002, 3111.55, 12.3052, 3239.73, 12.9328
1, 2700.00000, 3254, 11.9527, 3330.41, 12.1195, 3475.55, 12.7013
2, 0.00000, 3343.04, 11.8259, 3388.77, 12.1002, 3556.33, 12.7344
2, 900.00000, 3024.11, 17.8279, 3200.51, 17.0455, 3425.69, 17.2518
2, 1800.00000, 3467.08, 15.1916, 3638.75, 15.1049, 3813.94, 15.6068
2, 2700.00000, 3938.04, 13.3472, 4259.14, 13.2294, 4300.94, 14.1985
3, 0.00000, 3766.2, 13.5322, 3985.66, 13.7339, 4040.34, 14.7267
3, 900.00000, 3705.7, 14.1645, 3852.61, 14.7826, 4022.2, 15.7449
3, 1800.00000, 3740.24, 13.971, 3726.6, 14.9721, 4049.89, 15.7937
3, 2700.00000, 3665.24, 14.6065, 3633.59, 15.5555, 3947.26, 16.283
4, 0.00000, 3399.16, 16.0132, 3427.11, 16.7395, 3643.68, 17.5808
4, 900.00000, 3455.81, 15.2446, 3511.43, 16.3183, 3738.62, 17.0998
4, 1800.00000, 3446.37, 15.1023, 3482.26, 16.1373, 3686.41, 16.6591
4, 2700.00000, 3326.66, 15.2184, 3373, 16.0657, 3545.91, 16.9024
5, 0.00000, 3311.56, 15.6469, 3262.95, 16.3849, 3448.79, 17.1337
5, 900.00000, 3382.95, 15.539, 3367.92, 16.3936, 3568.07, 17.0516
5, 1800.00000, 2960.84, 20.656, 3066.88, 20.586, 3170.13, 20.6518
5, 2700.00000, 3265.96, 19.3078, 3351.55, 18.902, 3462.28, 19.186
6, 0.00000, 3826.55, 14.9412, 3899.19, 15.6001, 3979.74, 15.7604
6, 900.00000, 4010.19, 14.453, 4164.59, 15.0515, 4199.4, 15.2027
6, 1800.00000, 3987.21, 14.1261, 4194.19, 14.6421, 4202.39, 14.9206
6, 2700.00000, 4023.47, 14.1048, 4097.76, 14.7802, 4078.06, 14.8318
7, 0.00000, 3744.25, 15.4773, 3876.1, 16.0705, 3896.3, 16.0526
7, 900.00000, 3466.62, 15.5693, 3543.74, 16.2341, 3629.32, 16.2173
7, 1800.00000, 3258.68, 14.2616, 3313.86, 14.6717, 3432.43, 14.7502
7, 2700.00000, 2970.37, 13.5372, 3000.92, 14.349, 3123.48, 14.2038
8, 0.00000, 2812.87, 13.2413, 2840.84, 13.9602, 2990.02, 13.9516
8, 900.00000, 2654.94, 12.7278, 2674, 13.7389, 2785.36, 13.6161
8, 1800.00000, 2472.98, 13.1428, 2523.58, 13.5468, 2599.44, 13.6579
8, 2700.00000, 1082.83, 93.1157, 1062.41, 68.9443, 1101.63, 62.8262
9, 0.00000, 1072.34, 59.2656, 1196.99, 44.5551, 1368.12, 40.0254
9, 900.00000, 2502.81, 11.9289, 2575.37, 12.5947, 2652.09, 13.2721
9, 1800.00000, 2558.22, 12.058, 2632.61, 12.5116, 2758.15, 13.3001
9, 2700.00000, 2738.64, 12.0877, 2838.28, 12.5038, 2993.42, 13.1097
10, 0.00000, 2832.7, 12.26, 2910.03, 12.9078, 3078.4, 13.2936
10, 900.00000, 2859.08, 15.8215, 2970.95, 15.8689, 3106.53, 15.9669
10, 1800.00000, 3012.47, 15.7655, 3183.47, 16.0259, 3294.93, 16.5112
10, 2700.00000, 3413.73, 13.878, 3667.58, 14.3434, 3779.98, 15.2203
11, 0.00000, 3337.93, 14.3561, 3576.01, 14.493, 3588.79, 15.5815
11, 900.00000, 3269.99, 14.6514, 3479.62, 15.3179, 3627.97, 16.4465
11, 1800.00000, 3449.89, 14.4724, 3498.25, 15.7391, 3806.3, 16.406
11, 2700.00000, 3456.23, 14.9993, 3426.54, 15.9282, 3721.76, 16.8848
12, 0.00000, 3228.88, 15.5851, 3306.64, 16.4952, 3541.09, 17.4933
12, 900.00000, 3282.5, 16.0855, 3335.62, 16.6873, 3590.3, 17.6627
12, 1800.00000, 3298.24, 15.1481, 3283.19, 15.9143, 3505.59, 16.861
12, 2700.00000, 3223.01, 15.038, 3263.11, 15.7216, 3402.99, 16.7754
13, 0.00000, 3162.84, 15.3087, 3182.84, 16.0742, 3402.68, 17.0033
13, 900.00000, 3196.95, 14.9671, 3300.51, 15.5583, 3439.77, 16.4368
13, 1800.00000, 2907.29, 19.2748, 3041.53, 19.2571, 3189.73, 19.4443
13, 2700.00000, 2882.98, 22.4498, 3001.38, 21.5904, 3153.1, 21.3832
14, 0.00000, 3647.79, 15.1393, 3755.47, 15.8676, 3824.4, 15.999
14, 900.00000, 3749.67, 14.7064, 3908.43, 15.2279, 3991.93, 15.4123
14, 1800.00000, 3679.56, 14.3067, 3899.58, 14.9467, 3921.07, 15.2608
14, 2700.00000, 3624.35, 14.299, 3801.36, 15.175, 3774.01, 15.2246
15, 0.00000, 3456.57, 16.3642, 3587.91, 16.5075, 3606.52, 16.6558
15, 900.00000, 2834.47, 19.6003, 2925.99, 19.6726, 3054.55, 19.4679
15, 1800.00000, 2691.76, 17.6679, 2797.12, 17.3837, 2926.29, 17.5994
15, 2700.00000, 2713.87, 13.8434, 2750.81, 14.7177, 2879.64, 14.6285
16, 0.00000, 2627.54, 13.3952, 2607.25, 14.3161, 2721.19, 14.3268
16, 900.00000, 2512.34, 12.9782, 2493.15, 13.9669, 2597.17, 13.8063
16, 1800.00000, 2289.9, 12.9598, 2353.33, 13.6746, 2443.43, 13.7419
16, 2700.00000, 1536.16, 26.814, 1758.29, 23.544, 1824.5, 22.9383
17, 0.00000, 1141.62, 46.2593, 1325.4, 35.7826, 1475.52, 33.2862
17, 900.00000, 2428.78, 12.3169, 2488.17, 12.8481, 2585.12, 13.3536
17, 1800.00000, 2485.41, 12.2914, 2535.12, 12.69, 2673.16, 13.3109
17, 2700.00000, 2671.84, 12.2613, 2774.52, 12.5789, 2929.72, 13.1606
18, 0.00000, 2784.98, 12.3532, 2871.28, 12.8067, 3033.38, 13.3937
18, 900.00000, 2874.76, 14.7787, 2958.47, 15.2169, 3109.28, 15.4459
18, 1800.00000, 1517.14, 61.1101, 1554.18, 50.3176, 1793.03, 44.4438
18, 2700.00000, 3333.97, 15.2455, 3449.19, 15.0396, 3645.76, 16.0443
19, 0.00000, 3402.18, 14.0146, 3550.2, 14.3256, 3619.4, 15.5198
19, 900.00000, 3379.72, 14.1742, 3505.94, 14.9052, 3656.7, 16.0098
19, 1800.00000, 3568.04, 13.8654, 3519.55, 15.0807, 3793.54, 15.7721
19, 2700.00000, 3307.8, 16.8738, 3328.42, 17.5873, 3507.68, 18.1864
20, 0.00000, 1601.13, 61.9258, 1727.33, 50.5749, 1941.14, 46.4651
20, 900.00000, 2132.53, 32.7522, 2242.92, 29.9091, 2573.98, 28.6573
20, 1800.00000, 3214.71, 14.8929, 3251.43, 16.0411, 3460.47, 16.8401
20, 2700.00000, 3109.38, 14.9797, 3221.62, 15.7195, 3281.76, 16.8475
21, 0.00000, 3093.98, 15.0923, 3146.89, 15.8591, 3305.04, 16.9725
21, 900.00000, 3151.08, 14.919, 3179.97, 15.7935, 3388.26, 16.4895
21, 1800.00000, 2192.91, 31.1013, 2303.91, 29.0436, 2492.39, 27.7943
21, 2700.00000, 2642.51, 25.3463, 2762.15, 23.8364, 2975.06, 23.1447
22, 0.00000, 3517.44, 15.6341, 3589.36, 15.9935, 3694.65, 16.2911
22, 900.00000, 3651.22, 14.8933, 3675.8, 15.4317, 3727.57, 15.6232
22, 1800.00000, 3671.04, 14.3644, 3807.44, 15.1639, 3846.17, 15.3793
22, 2700.00000, 3549.9, 14.1702, 3633.86, 15.0169, 3705.61, 15.1713
23, 0.00000, 3149.02, 17.2103, 3323.08, 17.5754, 3370.64, 17.4799
23, 900.00000, 1956.11, 35.7943, 2103.48, 31.5441, 2208.75, 29.9936
23, 1800.00000, 2567.97, 18.5799, 2554.19, 18.6567, 2716.03, 18.309
23, 2700.00000, 2711.98, 14.0073, 2645.92, 15.0445, 2740.5, 14.7964
24, 0.00000, 2637.64, 13.5015, 2573.79, 14.3401, 2658.51, 14.2827
24, 900.00000, 2504.17, 13.1446, 2495.27, 14.1736, 2570.07, 14.0282
24, 1800.00000, 2314.13, 13.1316, 2350.34, 13.8656, 2431.98, 14.0396
24, 2700.00000, 1717.47, 23.0183, 1892.5, 21.2455, 1969.16, 20.9544
25, 0.00000, 1686.25, 23.3493, 1840.34, 20.9923, 1959.27, 21.0464
25, 900.00000, 2407.39, 12.5204, 2431.13, 13.1472, 2520.11, 13.7329
25, 1800.00000, 2483.49, 12.7091, 2546.8, 13.2744, 2667.33, 13.9986
25, 2700.00000, 2673.76, 12.7684, 2776.04, 13.309, 2913.65, 13.8545
26, 0.00000, 2778.91, 12.908, 2855.56, 13.7695, 2992.86, 14.0048
26, 900.00000, 2307.09, 22.4805, 2567.52, 20.8456, 2642.43, 20.932
26, 1800.00000, 1738.85, 41.6107, 1995.94, 34.1808, 2150.14, 33.006
26, 2700.00000, 3167.46, 15.0192, 3450.08, 15.4297, 3563.47, 16.2984
27, 0.00000, 3137.28, 14.6739, 3351.23, 15.1663, 3540.41, 16.1646
27, 900.00000, 3185.52, 15.1223, 3393.94, 15.9255, 3542.72, 16.877
27, 1800.00000, 3384.21, 14.4018, 3403.68, 15.6311, 3688.44, 16.2319
27, 2700.00000, 3406.61, 14.9896, 3346.28, 16.0082, 3564.56, 16.8472
