hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 2232.1, 14.8801, 2168.08, 16.1953, 2266.3, 17.8802
0, 1800.00000, 2188.47, 14.8293, 2038.15, 16.615, 2140.4, 18.224
0, 2700.00000, 1280.79, 38.0284, 1363.51, 36.221, 1326.42, 42.3227
1, 0.00000, 1583.25, 26.6987, 1642.87, 27.1056, 1649.43, 29.4417
1, 900.00000, 2321.73, 13.809, 2231.72, 15.0107, 2291.17, 17.77
1, 1800.00000, 2454.13, 13.8303, 2391.1, 14.4323, 2493.93, 16.1576
1, 2700.00000, 2646.81, 13.5069, 2603.2, 14.0512, 2685.23, 15.9668
2, 0.00000, 2716.7, 13.5492, 2654.19, 14.0624, 2741.27, 16.1029
2, 900.00000, 2658.95, 17.5602, 2625.45, 18.4275, 2613.56, 20.8714
2, 1800.00000, 2975.23, 16.2951, 2882.57, 17.1989, 2941.04, 19.0812
2, 2700.00000, 3408.28, 14.4754, 3232.72, 15.7623, 3264.65, 17.8158
3, 0.00000, 3111.77, 15.0036, 3123.54, 16.1384, 3065.48, 18.4573
3, 900.00000, 3048.24, 16.243, 3019.5, 17.3258, 3110.87, 19.7792
3, 1800.00000, 2990.01, 16.6982, 3047.39, 17.1679, 2990.86, 20.0847
3, 2700.00000, 2890.77, 17.3403, 2914.55, 18.3172, 2874.79, 20.3141
4, 0.00000, 2639.86, 18.7568, 2683.75, 19.8587, 2679.23, 21.8708
4, 900.00000, 2742.88, 18.0684, 2683.6, 19.523, 2719.45, 21.3295
4, 1800.00000, 2618.85, 18.2357, 2554.72, 19.8136, 2688.18, 21.9465
4, 2700.00000, 2562.72, 18.602, 2510.92, 20.0727, 2535.02, 22.754
5, 0.00000, 2450.14, 19.2228, 2399.82, 20.5797, 2519.81, 22.7636
5, 900.00000, 2517.12, 18.6537, 2522.53, 20.193, 2669.29, 22.219
5, 1800.00000, 2343.71, 22.6974, 2364.45, 23.7359, 2466.69, 26.2825
5, 2700.00000, 2534.32, 21.3507, 2532.3, 22.4496, 2579.53, 25.0804
6, 0.00000, 2979.71, 17.1305, 2924.29, 18.5689, 3009.17, 20.5902
6, 900.00000, 3146.36, 16.3511, 3172.81, 17.604, 3236.64, 19.7274
6, 1800.00000, 3146.19, 15.9151, 3187.44, 16.9321, 3179.51, 19.4525
6, 2700.00000, 2984.44, 16.0683, 3060.06, 17.0103, 3065.6, 19.4945
7, 0.00000, 2891.3, 17.4224, 2939.15, 18.3683, 3013, 21.1946
7, 900.00000, 2709.93, 17.8936, 2750.96, 18.4728, 2792.63, 21.8074
7, 1800.00000, 2581.61, 16.4138, 2584.47, 17.208, 2671.6, 20.3115
7, 2700.00000, 2321.64, 16.2464, 2318.03, 16.9944, 2327.08, 19.8801
8, 0.00000, 2192.23, 15.9429, 2192.29, 16.6766, 2216.35, 19.8116
8, 900.00000, 2080.87, 15.5837, 2038.68, 16.8142, 2122.58, 18.8571
8, 1800.00000, 1995.26, 15.9539, 1878.86, 17.5933, 1979.9, 19.274
8, 2700.00000, 999.969, 57.6838, 1084.77, 51.3621, 1065.22, 61.9294
9, 0.00000, 1126.09, 41.1056, 1201.77, 39.2828, 1216.71, 42.0663
9, 900.00000, 2046.37, 14.7393, 1971.36, 16.2462, 1990.25, 18.3455
9, 1800.00000, 2086.04, 14.3634, 2072.6, 15.3437, 2150.82, 17.2345
9, 2700.00000, 2226.94, 14.106, 2235.57, 14.9005, 2297.09, 17.0178
10, 0.00000, 2261.23, 14.2575, 2291.15, 15.0455, 2331.74, 17.6591
10, 900.00000, 2383.44, 17.0179, 2315.54, 17.8627, 2390.37, 20.816
10, 1800.00000, 2518.78, 17.5278, 2439.13, 18.769, 2543.93, 21.0276
10, 2700.00000, 2941.56, 15.4155, 2783.88, 16.8697, 2998.55, 19.617
11, 0.00000, 2784.54, 15.7324, 2719.22, 17.3369, 2892.74, 19.9829
11, 900.00000, 2785.46, 16.7858, 2732.78, 18.2795, 2912.5, 20.927
11, 1800.00000, 2829.8, 17.6754, 2885.03, 17.9304, 2831.89, 20.8052
11, 2700.00000, 2742.72, 17.6598, 2755.31, 18.6278, 2778.62, 21.4535
12, 0.00000, 2605.84, 18.4799, 2598.54, 19.5307, 2599.38, 21.5584
12, 900.00000, 2623.43, 18.9389, 2552.88, 19.9691, 2600.42, 22.3645
12, 1800.00000, 2521.24, 17.8103, 2450.79, 19.068, 2505.18, 21.4082
12, 2700.00000, 2463.31, 18.1089, 2451.76, 18.9265, 2517.7, 22.4533
13, 0.00000, 2440.33, 18.411, 2430.46, 19.4014, 2527.15, 22.1492
13, 900.00000, 2539.54, 17.6331, 2612.23, 18.5203, 2527.15, 20.6847
13, 1800.00000, 2425.51, 20.8182, 2459.32, 21.98, 2391.71, 24.0737
13, 2700.00000, 2399.11, 23.2842, 2459.04, 24.2427, 2443, 25.8773
14, 0.00000, 2913.84, 17.3432, 2940.56, 18.6112, 2865.1, 20.1218
14, 900.00000, 3036.46, 16.5971, 3125.42, 17.9563, 3102.24, 19.8841
14, 1800.00000, 2963.74, 16.5285, 3040.71, 17.5866, 3078.42, 20.3442
14, 2700.00000, 2854.96, 16.6752, 2942.57, 17.9635, 2988.46, 20.485
15, 0.00000, 2759.16, 18.2582, 2760.44, 19.3188, 2911.43, 22.2641
15, 900.00000, 2490.83, 19.4036, 2529.59, 20.1444, 2511.34, 22.9851
15, 1800.00000, 2157.33, 19.5886, 2213.26, 21.0293, 2226.03, 22.5861
15, 2700.00000, 2132.71, 16.9642, 2169.1, 18.075, 2183.79, 20.1778
16, 0.00000, 2007.32, 16.9049, 2049.24, 17.4863, 2022.91, 20.3246
16, 900.00000, 1938.5, 16.0851, 1937.57, 17.2832, 2014.39, 19.2004
