hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 7415.54, -0.0000229396, 7415.54, -120, 7415.54, 120, 390.868, -12.4823, 393.271, -133.388, 409.426, 106.587
0, 1800.00000, 7415.54, -0.000021783, 7415.54, -120, 7415.54, 120, 372.13, -12.5757, 382.509, -133.14, 399.225, 106.485
0, 2700.00000, 7415.54, 2.57327E-6, 7415.54, -120, 7415.54, 120, 171.424, -52.8364, 202.769, -160.131, 214.902, 82.7506
1, 0.00000, 7415.54, -5.88444E-6, 7415.54, -120, 7415.54, 120, 226.895, -31.2239, 258.356, -146.176, 279.093, 94.7373
1, 900.00000, 7415.54, -0.0000238684, 7415.54, -120, 7415.54, 120, 398.826, -11.76, 404.57, -132.133, 418.693, 107.127
1, 1800.00000, 7415.54, -0.0000243793, 7415.54, -120, 7415.54, 120, 409.982, -12.0002, 419.599, -132.305, 436.884, 107.067
1, 2700.00000, 7415.54, -0.0000261281, 7415.54, -120, 7415.54, 120, 438.809, -11.9527, 449.112, -132.12, 468.684, 107.299
2, 0.00000, 7415.54, -0.0000269349, 7415.54, -120, 7415.54, 120, 450.815, -11.826, 456.982, -132.1, 479.579, 107.266
2, 900.00000, 7415.54, -0.0000203298, 7415.54, -120, 7415.54, 120, 407.807, -17.8279, 431.596, -137.046, 461.96, 102.748
2, 1800.00000, 7415.54, -0.0000253764, 7415.54, -120, 7415.54, 120, 467.543, -15.1916, 490.692, -135.105, 514.317, 104.393
2, 2700.00000, 7415.54, -0.0000304317, 7415.54, -120, 7415.54, 120, 531.053, -13.3472, 574.354, -133.229, 579.99, 105.801
3, 0.00000, 7415.54, -0.0000289502, 7415.54, -120, 7415.54, 120, 507.88, -13.5323, 537.474, -133.734, 544.848, 105.273
3, 900.00000, 7415.54, -0.0000279691, 7415.54, -120, 7415.54, 120, 499.72, -14.1645, 519.532, -134.783, 542.402, 104.255
3, 1800.00000, 7415.54, -0.0000283897, 7415.54, -120, 7415.54, 120, 504.379, -13.971, 502.54, -134.972, 546.136, 104.206
3, 2700.00000, 7415.54, -0.000027305, 7415.54, -120, 7415.54, 120, 494.264, -14.6065, 489.997, -135.556, 532.296, 103.717
4, 0.00000, 7415.54, -0.0000242531, 7415.54, -120, 7415.54, 120, 458.383, -16.0132, 462.153, -136.74, 491.358, 102.419
4, 900.00000, 7415.54, -0.0000252529, 7415.54, -120, 7415.54, 120, 466.022, -15.2447, 473.523, -136.318, 504.161, 102.9
4, 1800.00000, 7415.54, -0.0000252933, 7415.54, -120, 7415.54, 120, 464.749, -15.1023, 469.59, -136.137, 497.12, 103.341
4, 2700.00000, 7415.54, -0.0000243279, 7415.54, -120, 7415.54, 120, 448.606, -15.2184, 454.855, -136.066, 478.173, 103.098
5, 0.00000, 7415.54, -0.0000239, 7415.54, -120, 7415.54, 120, 446.57, -15.6469, 440.015, -136.385, 465.077, 102.866
5, 900.00000, 7415.54, -0.0000244975, 7415.54, -120, 7415.54, 120, 456.198, -15.539, 454.17, -136.394, 481.161, 102.948
5, 1800.00000, 7415.54, -0.0000179648, 7415.54, -120, 7415.54, 120, 399.275, -20.656, 413.575, -140.586, 427.498, 99.3482
5, 2700.00000, 7415.54, -0.0000208442, 7415.54, -120, 7415.54, 120, 440.421, -19.3078, 451.963, -138.902, 466.895, 100.814
6, 0.00000, 7415.54, -0.0000282229, 7415.54, -120, 7415.54, 120, 516.018, -14.9412, 525.814, -135.6, 536.675, 104.24
6, 900.00000, 7415.54, -0.0000300131, 7415.54, -120, 7415.54, 120, 540.782, -14.453, 561.603, -135.051, 566.298, 104.797
6, 1800.00000, 7415.54, -0.0000301291, 7415.54, -120, 7415.54, 120, 537.683, -14.1261, 565.595, -134.642, 566.701, 105.079
6, 2700.00000, 7415.54, -0.0000304222, 7415.54, -120, 7415.54, 120, 542.573, -14.1049, 552.591, -134.78, 549.934, 105.168
7, 0.00000, 7415.54, -0.0000271676, 7415.54, -120, 7415.54, 120, 504.92, -15.4773, 522.7, -136.071, 525.424, 103.947
7, 900.00000, 7415.54, -0.0000250803, 7415.54, -120, 7415.54, 120, 467.481, -15.5693, 477.881, -136.234, 489.421, 103.783
7, 1800.00000, 7415.54, -0.0000245229, 7415.54, -120, 7415.54, 120, 439.44, -14.2617, 446.881, -134.672, 462.87, 105.25
7, 2700.00000, 7415.54, -0.0000228254, 7415.54, -120, 7415.54, 120, 400.56, -13.5372, 404.68, -134.349, 421.207, 105.796
8, 0.00000, 7415.54, -0.0000217964, 7415.54, -120, 7415.54, 120, 379.322, -13.2414, 383.093, -133.96, 403.21, 106.048
8, 900.00000, 7415.54, -0.0000208689, 7415.54, -120, 7415.54, 120, 358.024, -12.7278, 360.594, -133.739, 375.611, 106.384
8, 1800.00000, 7415.54, -0.0000192136, 7415.54, -120, 7415.54, 120, 333.486, -13.1428, 340.309, -133.547, 350.54, 106.342
8, 2700.00000, 7415.54, 0.0000118982, 7415.54, -120, 7415.54, 120, 146.022, -93.1157, 143.269, 171.056, 148.557, 57.1738
9, 0.00000, 7415.54, 3.91301E-6, 7415.54, -120, 7415.54, 120, 144.607, -59.2656, 161.417, -164.555, 184.493, 79.9746
9, 900.00000, 7415.54, -0.0000201047, 7415.54, -120, 7415.54, 120, 337.509, -11.929, 347.293, -132.595, 357.639, 106.728
9, 1800.00000, 7415.54, -0.0000204791, 7415.54, -120, 7415.54, 120, 344.981, -12.058, 355.013, -132.512, 371.942, 106.7
9, 2700.00000, 7415.54, -0.0000219072, 7415.54, -120, 7415.54, 120, 369.311, -12.0877, 382.748, -132.504, 403.668, 106.89
10, 0.00000, 7415.54, -0.0000225548, 7415.54, -120, 7415.54, 120, 381.995, -12.26, 392.423, -132.908, 415.128, 106.706
